Source,Target
89,754
836,119
261,115
137,966
279,417
637,206
298,486
901,227
474,891
312,725
210,956
139,662
213,414
214,910
663,803
941,284
792,560
944,267
965,839
57,10
923,419
281,887
411,8
265,599
349,659
712,555
633,643
688,783
236,1
647,340
437,668
453,580
611,573
775,240
129,143
96,644
436,157
812,756
783,429
15,948
209,844
555,482
19,378
641,516
62,463
744,467
588,178
496,760
804,729
883,806
128,576
748,77
801,266
29,896
287,625
863,993
875,531
1000,749
182,119
550,601
34,419
790,714
649,129
959,902
623,13
140,64
809,682
845,433
824,253
486,217
595,460
704,492
145,736
429,181
515,988
325,902
221,87
585,125
237,709
220,373
268,822
68,431
491,811
458,897
842,654
435,296
355,583
100,561
819,926
838,577
57,818
496,606
442,895
712,174
70,938
802,831
753,942
859,277
223,900
747,314
37,617
555,989
472,295
857,308
392,261
355,657
630,722
297,292
478,599
637,453
910,234
246,909
159,74
640,12
476,493
355,174
770,541
784,151
466,567
844,828
304,92
279,830
607,889
807,467
182,358
880,514
806,401
623,189
563,623
990,373
202,246
74,833
387,533
550,181
349,766
1000,862
978,212
894,132
381,488
216,978
962,347
938,369
713,310
782,517
130,502
99,544
736,979
40,720
542,669
782,122
23,781
468,493
408,880
287,797
661,378
6,855
926,384
109,232
460,96
600,365
692,283
714,732
606,732
374,990
974,338
203,36
665,985
234,99
142,439
21,253
183,27
818,445
477,980
456,485
180,59
786,432
880,557
953,813
634,710
630,528
358,294
776,305
381,914
611,195
273,803
518,323
210,599
811,469
60,897
607,347
348,196
520,258
986,949
866,591
145,140
936,896
113,879
211,636
832,327
117,401
28,189
278,858
681,609
296,383
438,250
807,950
204,292
24,601
632,51
174,729
338,781
245,514
154,952
813,617
694,647
166,678
668,781
415,464
617,615
582,631
173,738
532,542
290,759
210,38
393,150
192,720
64,881
250,440
6,451
250,634
329,511
885,386
213,197
217,663
216,204
708,609
484,867
22,175
43,763
800,607
896,481
895,170
937,99
251,757
781,289
132,322
268,919
89,764
912,785
935,740
630,973
356,111
906,100
750,891
76,733
611,98
864,227
357,834
206,275
431,52
830,962
675,751
614,862
651,855
386,87
206,9
516,695
439,311
666,8
675,860
71,884
813,719
402,745
729,274
331,872
365,769
914,260
946,811
91,19
695,156
62,541
381,356
851,41
701,913
476,730
906,93
456,702
736,90
68,595
773,306
260,344
597,705
768,452
585,576
632,351
669,24
79,387
415,498
786,743
701,988
177,801
551,943
720,345
933,208
938,495
512,727
702,870
508,860
63,665
82,92
227,220
486,223
55,473
430,344
652,961
945,949
529,135
739,24
117,462
220,492
199,294
976,814
213,64
323,31
372,947
781,561
65,178
904,187
182,535
302,560
42,377
73,947
680,606
156,604
308,877
246,520
980,762
691,262
93,330
300,467
43,485
921,271
972,557
760,257
851,568
810,887
678,4
493,848
201,939
743,62
988,231
828,518
765,829
746,117
940,530
695,662
768,594
814,711
807,863
150,446
911,139
666,87
664,888
245,317
806,170
784,113
778,634
198,527
529,534
897,487
664,879
63,392
290,468
832,688
775,577
935,510
727,500
986,113
876,896
943,271
403,67
158,217
321,55
964,419
271,19
519,897
720,914
322,880
779,662
439,457
322,897
878,293
614,370
14,576
26,311
973,196
376,673
676,441
339,30
931,943
578,769
853,598
349,714
792,602
274,46
190,776
482,806
935,18
895,531
811,138
833,444
498,187
673,317
196,783
106,417
962,681
763,693
259,17
16,376
960,953
503,132
878,342
700,275
9,553
224,720
221,188
139,447
166,751
151,608
667,992
114,22
114,149
922,92
868,140
778,604
723,115
582,238
137,991
492,312
79,992
417,685
198,725
542,388
655,298
98,226
256,538
333,924
133,182
974,450
516,508
776,878
727,113
36,98
601,826
322,317
430,992
829,310
26,804
681,919
681,24
383,203
224,120
5,606
926,206
983,992
902,92
965,757
372,326
211,648
67,255
802,754
56,743
893,358
352,750
152,272
596,863
888,156
25,404
935,873
373,524
56,999
766,126
611,389
991,409
604,419
1,358
258,150
806,864
300,91
641,174
798,622
746,913
539,394
599,906
776,729
415,162
642,104
894,158
118,970
792,673
977,254
513,877
726,626
844,584
968,942
247,282
313,185
974,457
467,916
191,330
323,940
213,542
316,6
96,118
252,504
565,271
636,302
565,630
550,776
116,712
443,741
190,387
832,477
674,934
39,981
747,177
362,40
228,688
729,390
458,944
372,501
917,684
812,181
601,335
619,619
222,321
326,208
418,604
690,560
646,244
361,239
833,423
295,4
707,25
476,410
375,934
517,196
969,914
462,264
420,93
230,763
286,714
962,268
950,941
588,367
122,650
567,711
923,727
229,32
729,684
739,311
993,58
702,433
303,707
453,750
273,734
670,939
11,645
504,305
275,365
45,445
124,233
286,183
658,452
758,460
943,819
993,918
627,78
444,943
285,419
649,591
689,300
789,664
106,834
768,363
971,900
731,509
237,497
390,869
320,155
83,973
515,428
846,287
137,993
318,192
180,779
722,229
660,874
474,415
690,455
341,122
210,741
97,354
932,333
716,715
585,745
947,855
473,889
952,958
875,14
620,2
904,558
690,453
36,166
993,210
506,303
614,909
889,348
432,946
101,259
559,183
831,569
149,767
144,50
906,495
428,397
86,401
246,673
561,600
627,225
35,592
593,357
691,491
129,130
347,641
147,351
194,270
692,307
514,737
664,896
541,387
983,292
85,775
633,338
543,257
541,728
418,465
404,41
856,366
238,839
510,699
483,144
616,218
321,641
273,250
643,61
44,820
348,631
377,845
722,153
187,218
540,909
434,135
545,461
246,982
180,736
107,97
632,230
274,513
182,301
125,611
142,561
459,710
660,85
524,412
168,867
883,757
369,549
260,529
236,219
999,995
328,773
444,603
592,609
634,406
112,344
382,939
399,727
59,712
414,862
144,466
525,177
312,943
148,519
592,642
38,678
920,447
822,103
451,618
58,46
611,933
617,52
440,420
824,238
916,622
944,904
99,194
677,894
290,40
585,650
70,50
561,18
963,968
330,154
834,491
859,915
31,288
968,870
910,430
519,281
585,377
894,219
86,367
770,429
99,39
516,66
101,995
96,641
627,535
452,454
115,114
113,678
765,326
976,31
126,606
550,586
275,736
43,280
590,525
834,680
851,523
675,842
488,835
513,314
600,553
407,355
263,888
140,3
135,422
547,736
301,780
332,5
738,140
97,68
654,786
938,368
783,472
645,559
639,843
18,915
689,803
889,905
313,601
441,879
693,945
762,822
612,832
29,766
995,7
477,977
753,453
241,491
302,313
444,136
874,348
192,515
480,640
977,794
539,922
1,224
394,447
899,679
668,26
953,361
142,286
540,183
753,613
241,165
424,636
819,124
280,886
522,200
154,160
619,434
184,191
242,440
785,541
457,866
758,74
184,21
844,801
694,555
410,150
848,256
131,517
699,858
614,165
182,701
926,538
638,641
453,490
553,488
989,180
220,884
273,558
200,847
743,377
63,51
982,682
460,209
681,186
955,800
987,710
610,135
707,535
282,39
455,341
835,290
437,25
601,819
656,505
107,857
396,740
343,690
600,317
568,902
747,534
377,110
838,946
851,646
317,602
692,392
890,323
626,927
386,660
945,377
736,706
815,239
711,783
993,898
240,398
821,542
117,284
224,239
819,908
705,880
616,254
686,193
255,969
532,307
803,537
561,282
73,318
765,166
656,815
416,111
119,157
449,873
508,818
962,224
372,152
811,339
923,801
271,984
679,1000
206,342
60,376
500,87
900,889
739,89
41,347
361,642
902,235
291,286
672,915
377,485
176,637
729,125
501,477
30,356
501,11
28,370
39,163
521,611
744,364
283,383
45,502
680,629
963,808
390,893
169,242
372,519
670,343
645,83
982,968
244,833
306,925
551,665
466,521
915,300
564,317
637,212
170,194
316,774
934,132
383,900
361,202
54,705
599,68
786,687
751,466
174,962
720,236
42,924
935,669
837,350
363,449
209,930
667,932
539,617
708,646
205,699
754,191
908,31
797,9
141,333
224,265
994,724
869,572
731,503
945,54
255,585
261,705
306,627
699,43
99,704
374,42
862,404
648,52
946,428
123,173
572,552
853,956
331,847
600,592
208,20
995,248
92,637
502,637
118,824
697,549
538,445
179,896
881,504
829,61
966,842
558,970
459,40
777,482
336,338
869,292
833,651
598,946
926,52
943,945
124,16
22,517
522,934
134,780
64,653
229,861
667,547
883,323
784,795
811,455
960,156
632,718
904,351
849,673
549,275
65,329
174,729
162,396
462,133
632,755
506,216
796,316
351,28
428,486
712,312
801,204
432,369
512,311
834,132
629,602
313,363
659,124
556,749
544,144
884,652
76,223
840,134
100,683
978,978
822,257
692,347
444,72
25,741
352,970
295,692
166,569
303,235
322,540
878,251
285,820
613,159
760,198
948,546
283,782
229,658
895,425
558,484
392,320
303,47
641,12
966,563
735,19
265,232
416,811
51,684
191,783
876,356
981,722
356,911
447,507
97,502
111,81
676,461
880,352
790,104
584,996
700,840
266,863
937,950
854,154
561,449
60,217
623,572
145,997
892,960
38,555
834,673
718,526
683,755
635,635
407,47
635,687
696,872
669,422
406,659
945,253
69,537
337,627
795,283
595,858
199,923
19,987
728,805
200,860
492,277
308,380
222,772
22,221
63,573
475,983
742,714
771,700
646,787
640,269
276,627
993,254
860,389
820,832
352,747
964,108
831,350
468,334
928,442
491,738
84,923
381,425
391,173
401,983
474,624
295,565
935,397
793,272
63,967
288,388
729,150
483,582
772,846
185,413
79,610
123,886
525,691
946,610
942,439
806,450
402,24
890,783
268,148
665,565
708,427
747,947
430,701
846,780
457,940
138,33
675,490
177,536
669,252
97,13
780,158
920,272
553,6
243,251
350,281
837,535
302,357
74,647
567,451
377,505
306,567
233,591
199,44
72,956
211,735
241,270
260,609
385,371
809,351
774,189
533,809
332,910
959,82
520,851
292,579
711,961
797,391
158,61
11,898
405,825
838,38
123,362
153,96
874,801
980,247
462,468
831,885
41,852
178,809
197,670
675,429
102,708
540,18
197,825
166,525
734,755
525,522
35,623
219,280
678,574
794,152
781,582
11,468
633,316
241,55
532,704
967,133
849,631
911,789
62,603
865,688
312,133
628,479
997,108
248,561
396,390
157,759
572,919
11,534
389,837
479,338
755,63
556,575
650,725
236,974
375,368
726,198
54,783
425,591
236,211
551,892
905,167
666,214
565,758
848,516
889,659
495,817
342,699
662,345
7,988
840,350
114,129
166,493
556,459
586,776
12,510
373,332
620,401
61,131
226,847
686,682
377,444
744,619
231,635
902,152
402,157
344,719
103,725
344,288
139,168
564,162
204,793
849,67
633,915
570,15
557,648
390,66
651,257
155,678
298,300
170,9
117,459
668,795
854,898
641,337
962,188
867,761
27,562
851,67
153,178
697,658
42,296
391,427
744,692
357,614
370,569
332,6
663,92
618,649
528,741
458,575
641,365
78,452
464,799
995,151
667,206
54,117
624,793
910,945
717,784
521,245
994,127
401,866
754,619
223,568
701,987
128,423
892,567
992,706
859,790
770,626
760,665
142,943
75,848
241,89
205,459
580,300
722,798
41,241
251,136
78,787
104,623
552,185
350,967
919,634
359,366
840,372
120,781
277,763
190,853
582,909
443,497
411,580
100,534
438,424
606,698
188,749
549,204
140,477
369,962
298,265
642,949
217,750
246,662
285,308
275,188
117,833
168,271
827,510
102,730
25,368
609,145
77,57
301,591
530,762
168,179
820,208
753,775
848,958
13,876
581,657
464,246
942,778
541,812
221,820
158,835
683,778
453,236
540,665
21,546
222,510
434,770
904,435
405,547
918,64
207,508
809,555
718,964
167,16
923,353
331,597
919,356
547,24
693,165
609,532
583,951
346,69
336,347
253,887
963,165
453,856
324,653
913,260
582,758
813,714
591,942
465,771
227,277
99,149
577,523
508,927
566,558
874,125
428,714
260,404
424,128
805,340
377,159
520,199
935,241
287,431
779,882
942,270
6,171
586,623
676,456
558,186
834,509
741,405
800,136
938,232
237,4
414,846
159,537
135,68
513,426
703,624
669,363
460,488
885,718
735,44
964,37
666,523
100,165
285,524
714,463
591,447
979,135
123,719
978,458
574,616
327,366
954,860
702,201
819,868
661,530
722,844
648,493
58,252
526,957
853,812
800,61
908,318
549,424
503,327
24,517
231,846
389,439
153,665
716,486
464,798
598,164
25,458
20,916
158,26
78,466
983,72
967,535
241,344
492,469
148,277
709,1
757,668
841,750
990,641
286,875
651,337
657,282
572,146
119,468
671,465
685,232
177,193
945,182
666,410
119,581
12,457
521,887
802,47
213,127
57,76
860,559
992,906
836,290
291,886
653,932
382,710
121,853
984,821
148,118
616,370
724,523
335,4
95,986
870,275
735,212
936,610
982,14
426,308
895,237
224,349
767,354
622,813
730,958
421,168
376,782
301,702
787,13
73,897
499,472
516,164
50,976
122,929
898,411
185,611
485,248
6,210
362,183
858,806
224,526
60,537
893,924
364,880
701,197
563,549
269,199
75,573
503,193
702,33
429,539
459,762
503,929
355,581
34,633
3,169
80,391
892,266
422,103
201,397
805,90
696,403
108,853
184,655
621,114
662,997
261,607
821,686
940,127
996,197
931,851
732,672
645,452
939,549
534,784
568,133
467,30
855,57
470,44
409,387
347,931
148,570
345,461
738,341
76,884
813,882
578,366
211,35
450,395
849,31
704,638
859,429
716,996
689,338
632,405
999,444
1,38
613,423
384,335
87,912
33,594
107,45
282,534
425,960
879,252
268,195
164,166
905,338
789,477
288,101
821,361
639,922
607,64
886,381
995,260
741,987
247,657
590,156
567,434
544,696
822,153
785,67
416,25
960,629
22,266
296,811
256,679
401,837
559,448
987,335
609,855
314,460
194,414
365,915
284,171
793,581
839,7
746,521
294,408
210,475
395,748
367,557
918,482
436,924
418,739
973,701
670,22
175,848
539,494
980,9
201,632
768,544
147,756
978,97
448,7
848,348
770,192
991,906
396,937
27,308
375,760
929,431
414,658
770,577
5,23
780,433
213,863
568,276
519,231
581,670
170,762
784,335
523,445
702,894
597,671
863,370
234,85
20,789
492,341
453,144
88,451
596,131
920,702
902,257
396,739
146,897
213,449
18,665
474,413
586,782
486,717
483,12
40,289
799,42
987,288
958,373
369,426
329,218
360,809
174,280
372,228
746,687
329,778
354,975
217,435
82,116
40,838
35,655
246,558
689,769
67,784
155,513
554,709
842,155
185,641
475,799
651,469
124,635
875,618
546,597
801,923
224,12
640,310
869,662
657,472
343,437
163,507
798,226
268,870
956,11
733,646
639,860
90,360
329,871
773,620
643,416
86,312
185,249
494,66
907,981
751,679
795,40
795,44
963,747
690,503
824,244
322,672
64,929
381,853
518,623
519,687
454,160
472,619
93,292
52,214
769,27
382,151
25,644
527,721
771,817
665,279
228,871
313,664
197,533
138,129
780,718
63,88
833,437
84,653
60,444
298,232
667,118
141,380
144,439
620,489
661,557
381,656
492,346
18,884
359,993
578,729
974,133
885,726
462,235
242,295
104,421
699,498
199,387
178,373
711,319
700,890
645,41
221,513
138,399
6,26
453,174
284,540
72,918
490,664
68,908
478,709
120,377
366,822
182,664
447,351
540,111
954,296
183,700
383,257
197,993
460,274
760,732
166,599
11,376
363,209
581,635
22,923
178,827
416,254
794,218
994,567
311,565
69,141
399,433
901,129
77,266
574,44
740,873
868,551
824,875
663,843
840,360
887,230
602,99
302,431
421,691
719,426
529,259
767,440
899,482
462,466
152,869
195,208
263,713
474,918
240,943
111,576
711,92
367,213
500,281
86,551
731,741
816,313
785,669
576,571
88,610
306,464
217,529
162,431
509,154
378,684
326,257
414,743
959,482
517,162
622,55
889,918
666,288
622,409
290,22
623,722
232,808
869,208
584,164
64,333
850,833
553,773
693,162
320,553
264,46
39,855
423,655
110,560
286,80
748,316
340,53
162,274
284,755
28,954
95,96
103,386
14,997
50,89
999,309
769,591
318,998
386,357
999,926
969,593
218,172
427,774
751,335
2,806
16,708
46,20
41,994
960,831
405,299
900,777
986,922
755,121
690,845
224,241
293,784
636,796
212,680
480,115
534,195
46,914
649,802
372,882
389,676
615,704
581,530
430,512
410,298
773,646
113,299
316,748
235,129
227,70
395,503
546,745
380,603
89,891
74,347
564,13
935,212
501,600
38,468
540,806
989,405
553,240
770,550
745,926
933,677
42,82
87,395
6,487
987,297
146,888
107,68
708,672
59,310
216,52
840,594
213,443
352,254
607,372
351,612
289,916
370,893
632,384
452,588
557,79
512,484
260,774
582,272
343,685
497,838
439,46
345,982
992,770
190,539
55,87
950,131
52,310
975,229
94,277
377,679
754,749
531,310
736,184
784,481
920,696
315,939
629,401
878,74
428,419
390,511
274,702
799,830
192,416
490,688
764,785
27,420
267,568
26,468
602,581
371,357
9,262
928,10
487,324
380,156
677,395
896,950
994,570
932,951
999,876
499,458
568,991
551,443
887,452
223,174
408,910
951,648
52,928
252,382
347,856
493,225
769,179
139,723
490,365
823,96
449,388
924,476
754,418
288,466
52,439
315,575
873,45
893,753
377,763
248,216
289,100
253,704
354,388
581,276
206,665
840,788
950,824
22,223
659,655
473,11
347,618
60,639
393,12
432,761
620,328
447,385
406,963
265,871
820,765
909,973
648,421
244,868
944,358
411,99
537,378
960,229
618,786
319,585
670,955
918,21
829,526
269,858
365,834
176,234
874,607
209,700
435,376
939,525
434,805
125,686
933,737
896,900
669,857
460,119
187,262
819,152
838,135
321,351
483,332
185,343
154,766
298,833
399,592
684,760
349,406
589,938
837,457
839,907
91,657
756,357
659,446
387,649
243,694
437,667
967,698
708,473
571,533
755,736
47,308
289,832
207,991
526,399
374,217
460,345
214,623
930,563
27,553
559,862
94,532
480,557
324,700
213,677
428,537
286,927
835,577
158,246
155,729
71,353
50,756
854,782
531,37
646,382
192,952
380,521
129,647
797,296
822,172
335,14
124,122
3,622
341,639
822,965
317,768
760,520
685,705
815,841
74,581
899,838
754,274
205,325
664,311
879,62
106,706
575,738
161,526
828,298
475,341
133,685
329,252
860,9
570,467
398,533
327,375
537,158
957,289
656,596
278,121
479,412
959,965
438,543
622,961
737,721
930,296
670,643
973,245
959,321
861,188
978,892
668,61
584,354
339,967
149,335
294,484
360,815
343,883
848,296
15,982
521,666
836,667
965,154
815,204
475,385
224,446
75,286
863,339
181,995
297,423
662,22
696,253
400,59
116,903
845,374
21,511
158,75
786,472
431,957
400,778
294,941
826,14
651,163
388,935
453,734
520,465
594,920
994,460
833,363
728,68
454,866
409,129
71,368
868,449
564,369
861,384
629,314
164,126
359,581
253,106
279,811
460,474
876,25
998,157
420,495
173,833
680,847
607,357
827,187
633,245
291,919
172,456
198,276
739,865
272,497
998,58
471,263
588,522
849,124
590,871
36,235
639,299
122,103
986,610
45,312
308,746
16,297
151,789
558,367
155,262
872,900
831,506
123,353
207,635
746,737
874,770
978,495
755,208
181,11
827,160
994,890
470,867
481,766
575,170
753,265
882,902
138,974
458,322
249,1
418,818
467,894
16,525
859,510
359,252
878,898
490,154
550,493
301,13
908,696
60,676
772,608
659,664
46,562
494,773
665,953
292,224
958,975
530,384
255,771
648,472
713,621
970,245
428,491
667,76
53,907
593,203
411,247
11,612
636,513
23,1
452,290
90,335
28,99
979,552
282,900
350,405
900,67
452,695
613,268
528,554
874,583
591,607
730,48
531,732
485,490
594,752
543,971
160,511
76,551
99,22
657,447
171,116
683,891
517,657
36,861
364,235
948,536
206,37
66,929
568,817
232,176
54,771
402,688
66,868
410,350
387,841
402,974
468,293
842,240
203,248
416,595
7,849
278,218
320,920
854,70
111,990
258,114
256,353
413,619
575,924
925,263
784,99
621,989
858,562
39,805
981,920
971,77
417,66
724,276
748,503
429,410
470,508
11,125
985,965
178,264
245,889
888,331
976,723
512,328
864,212
191,477
985,122
527,135
130,157
611,407
812,862
623,927
676,804
673,170
240,753
925,158
640,177
203,702
128,922
996,248
943,653
796,766
746,976
186,718
860,130
288,420
434,543
879,310
193,910
756,17
728,421
424,716
89,39
412,878
888,114
116,779
91,896
362,190
891,680
644,948
643,963
585,929
983,529
842,269
73,940
376,147
35,59
968,136
84,333
654,216
149,307
245,606
264,133
170,806
397,970
746,740
556,812
713,897
293,841
909,991
847,136
931,48
285,481
638,882
679,432
473,397
714,600
26,283
254,345
62,818
964,215
536,806
283,488
920,419
683,756
943,322
481,182
470,882
544,47
852,679
721,213
795,351
873,485
184,527
111,386
475,411
725,286
742,414
95,592
249,888
867,128
537,757
93,94
457,888
866,847
665,788
882,856
916,506
811,902
694,869
69,765
977,138
403,438
368,354
400,448
305,114
206,105
179,696
489,107
749,25
899,951
112,406
265,925
665,413
9,952
258,688
611,274
890,308
225,336
326,325
158,463
815,386
598,61
418,663
62,486
440,79
440,335
521,489
292,820
745,865
46,749
4,580
176,792
647,495
265,467
721,831
762,258
578,221
835,527
992,91
641,497
329,843
587,916
360,422
848,237
229,500
224,867
257,951
569,382
436,558
802,740
261,790
469,291
325,563
356,341
228,173
20,993
613,294
158,108
459,746
344,500
521,966
146,335
54,90
178,331
154,207
907,149
329,61
669,975
491,640
758,581
448,983
262,85
427,328
323,613
962,333
536,732
785,121
31,993
538,184
419,7
586,336
213,277
59,391
538,687
547,111
391,919
482,156
193,765
984,796
883,517
293,916
440,513
464,230
748,685
738,307
77,689
351,687
778,269
600,961
931,913
540,270
668,861
575,943
778,665
864,394
716,5
77,704
761,898
315,375
184,677
576,835
941,94
939,624
990,462
647,623
15,48
197,546
874,343
211,248
372,543
172,15
351,162
716,436
944,204
304,775
58,740
106,172
714,313
308,684
843,718
854,839
930,44
167,347
631,333
304,245
731,70
922,588
810,579
971,768
774,990
522,324
994,104
669,755
535,848
156,233
583,261
48,186
452,755
156,3
167,725
69,565
948,204
58,237
423,544
294,918
843,327
90,245
337,386
143,237
539,548
732,226
210,313
782,668
180,338
257,520
126,176
509,812
242,390
105,650
876,341
573,324
253,554
559,33
610,951
646,916
122,209
144,174
815,233
194,948
926,888
53,362
661,485
449,454
439,979
895,2
898,596
179,137
125,677
77,133
784,483
207,34
263,658
707,21
193,259
922,146
831,1
427,344
798,765
797,709
427,959
929,150
744,360
562,644
72,112
21,108
186,72
421,487
984,757
904,540
253,632
789,195
786,908
70,718
953,134
573,123
798,566
113,850
414,543
719,953
507,251
499,359
909,39
20,930
664,240
90,323
589,470
372,732
603,186
397,964
914,248
275,758
1000,421
211,456
455,668
58,920
638,355
828,664
702,399
355,28
408,913
839,868
513,683
329,144
311,504
957,815
522,845
611,646
893,231
227,475
34,24
175,598
141,524
328,341
188,950
444,371
891,239
2,305
521,512
845,95
311,88
279,638
337,103
285,733
936,242
390,930
86,119
664,308
862,705
257,586
544,154
660,859
286,603
905,661
87,262
56,19
498,367
767,787
694,70
723,44
245,584
18,993
254,490
576,752
219,284
322,823
805,412
104,294
698,748
914,660
321,431
618,831
863,295
843,169
864,799
130,752
423,912
131,169
789,490
115,590
719,841
528,612
814,79
980,161
298,572
65,676
88,169
947,715
950,253
862,35
997,463
674,530
939,33
151,109
716,145
674,29
299,603
238,39
58,395
393,169
711,930
908,460
317,321
441,129
375,219
579,44
503,151
811,713
461,808
350,364
262,100
161,558
401,666
839,283
143,622
435,444
905,892
379,962
938,839
191,254
623,254
706,174
820,993
149,391
892,661
560,433
770,168
447,862
168,470
597,856
419,891
104,13
55,725
508,605
816,821
224,539
212,802
100,985
875,787
184,195
965,222
130,364
424,621
857,471
149,998
130,588
959,572
471,16
892,235
329,448
607,456
17,866
25,704
141,27
791,764
39,143
806,878
954,983
214,447
632,86
956,756
138,816
717,600
479,758
823,505
978,866
825,852
216,389
995,881
882,36
639,174
505,293
955,992
739,249
545,843
875,34
891,390
518,65
441,295
27,149
53,375
734,204
359,26
862,54
218,654
875,360
564,969
401,926
997,617
749,806
884,44
918,142
181,788
651,513
455,88
683,234
548,816
673,8
403,584
135,163
175,564
956,554
797,172
190,691
805,826
158,27
217,295
228,734
646,696
734,745
745,667
651,676
479,737
361,647
723,24
493,579
130,962
494,804
665,885
729,175
650,364
934,836
398,896
930,53
757,842
432,319
13,458
545,322
852,511
687,131
656,651
116,342
966,643
684,732
440,671
572,278
59,434
893,389
318,569
340,936
890,34
869,731
1000,654
246,136
413,360
583,108
621,784
325,530
